id,data,confronto,competicao,mercado,patamar,confianca,wilson_inferior,melhor_casa,odd_referencia,resultado,ocorreu,nota
1,2026-07-25,Santos x Chapecoense,Brasileirao Serie A,Total de gols,Mais de 2.5,Alta,NA,nao encontrada,NA,2-2 (4 gols),sim,Convergencia dos dois lados confirmada
2,2026-07-25,Vasco x Mirassol,Brasileirao Serie A,Escanteios,Menos de 10.5,Moderada,NA,nao encontrada,NA,1-1 (escanteios nao verificaveis),arquivado,3 tentativas esgotadas - contagem exata de escanteios nunca encontrada
3,2026-07-26,Criciuma x Nautico,Brasileirao Serie B,Dupla chance,1X,Alta,NA,Betano 1.17,1.17,retirado,retirado,Retestado com odds reais Betano no mesmo dia (9.1): sem edge - PE substituido pela conclusao testada. Nao conta p/ calibracao
4,2026-07-27,Atletico-GO x Operario-PR,Brasileirao Serie B,Ambas marcam,Nao,Moderada,0.44,nao encontrada,NA,Atletico-GO 3-1 Operario (ambas marcaram; penalti de Boschilia),nao,Dado contra narrativa de tipster (que dizia BTTS Sim); H2H 3/3 Operario sem sofrer + 0.2 GC/jogo recente | NAO OCORREU - primeiro Moderada resolvido (0/1); coerente com faixa 40-60% mas registrado como esta
5,2026-07-28,Ponte Preta x Athletic Club,Brasileirao Serie B,Dupla chance,X2 (Ponte Preta nao vence),Alta,0.69,nao encontrada (2 tentativas: Nimble fora + WebSearch sem odd numerica),NA,Ponte Preta 1-1 Athletic (Leo Gomes 21/1T; Ian Luccas penalti 22/2T),sim,"Modelo Dixon-Coles robusto em 3 cenarios de lambda (X2 72-74%) + Wilson inferior 69% (17/19) + convergencia: pior defesa da Serie B (33GC/17j) e 2V/19j vs Athletic ofensivo fora. Modelo REJEITOU o over 2.5 dos tipsters (40-58%, sem folga) - nao emitido | Line-shop tentativa 2 (28/07 manha): Betfair confirma Athletic favorito (qualitativo, sem numero) - reteste no-vig impossivel sem odd dos dois lados; fonte betfair.bet.br mostra dados possivelmente defasados da Ponte (2V2E11D/15j vs 2V/19j das demais fontes) - divergencia declarada, mantido Wilson 17/19 | OCORREU - Ponte nao venceu (empate). Alta: 2/2 resolvidos"
6,2026-08-07,Deportivo Malacateco x CSD Xelaju MC,Guatemala Liga Nacional,Total de gols,Under 3.5,Alta,NA,"Betano (odd real do mercado, referencia)","NA (casa oferece Total de Gols so na linha 2.5, nao 3.5 - sem par exato pra citar)","Deportivo Malacateco 2-2 CSD Xelaju MC (fonte: fotmob, gols: Canales 58', Ruiz 74', Quezada 89', Andrade 90+7' pen)",nao,"PE derivado do pe_engine.py (v27/v28): probabilidade justa do 1X2 real da Betano (1.82/2.92/5.00, overround normal) de-vigada (POWER+Shin) e invertida via Dixon-Coles para lambdas implicitos (1.47 casa / 0.76 fora), depois recalculada Under 3.5 gols em 5 cenarios (rho variavel + de-vigs alternativos) - reportado sempre o PIOR cenario: 81.5% (desvio +20.1% sobre a mediana do catalogo do dia, 61.4% - passa o filtro de distintividade, nao e so taxa-base). NAO e forma_recente (sem serie jogo-a-jogo real coletada - liga sem cobertura de estatistica facil, mesma lacuna da decisao 45/48). Metodo NOVO para o pe_ledger - primeira vez que um candidato do pe_engine.py e registrado aqui em vez de so exibido como triagem (uso legitimo 'a' do docstring do motor). A casa oferece Total de Gols na linha 2.5 (nao 3.5) - odd real citada e so referencia aproximada, nao a mesma linha do PE; sem odd real na linha 3.5 para reteste 9.1 direto."
7,2026-08-07,Waterside Karori x Napier City Rovers,Nova Zelandia Central League,Total de gols,Over 1.5,Alta,NA,"Betano (odd real do mercado, referencia)","NA (casa oferece Total de Gols so na linha 3.5, nao 1.5 - sem par exato pra citar)","Waterside Karori 1-3 Napier City Rovers (fonte: 365scores + aiscore, concordam)",sim,"PE derivado do pe_engine.py: 1X2 real Betano 12.00/6.30/1.15 (Napier fortissimo favorito fora) de-vigado e invertido -> lambdas implicitos 0.89 casa / 3.52 fora, Over 1.5 gols = 89.0% no pior cenario (desvio +15.5% sobre mediana 73.5%). Amostra cautelar: overround/odds extremas (1.15) tem mais ruido de precificacao que jogos equilibrados - registrar com essa ressalva explicita. Sem forma_recente coletada (liga neozelandesa de dado fraco, decisao 44). Odd real da casa para Total de Gols esta na linha 3.5, nao 1.5 - sem par exato pra reteste 9.1 direto na linha do PE."
8,2026-08-07,Juventud Antoniana x CA Alvarado del Plata,Argentina Torneo Federal A,Total de gols,Under 3.5,Alta,NA,"Betano (odd real do mercado, referencia)","NA (casa oferece Total de Gols so na linha 1.5, nao 3.5 - sem par exato pra citar)",Juventud Antoniana 0-2 CA Alvarado (fonte: sportytrader),sim,"PE derivado do pe_engine.py: 1X2 real Betano 1.95/2.80/4.10 de-vigado e invertido -> lambdas implicitos 1.41 casa / 0.86 fora, Under 3.5 gols = 80.5% no pior cenario (desvio +19.1% sobre mediana 61.4%). Terceira divisao argentina, dado historico fraco (decisao 44/8.1) - sem forma_recente coletada. Odd real da casa pra Total de Gols esta na linha 1.5, nao 3.5 - sem par exato pra reteste 9.1 direto na linha do PE."
9,2026-08-08,Deportivo Riestra x Estudiantes de La Plata,Argentina Liga Profesional,Total de gols,Under 3.5,Alta,NA,"Betano (odd real do mercado, referencia)","NA (casa oferece Total de Gols so na linha 1.5, nao 3.5 - sem par exato pra citar)",Deportivo Riestra 2-0 Estudiantes de La Plata (fonte: ESPN),sim,"PE derivado do pe_engine.py: 1X2 real Betano 2.82/2.75/3.00 (jogo muito equilibrado) de-vigado e invertido -> lambdas implicitos 1.08 casa / 1.04 fora, Under 3.5 gols = 83.5% no pior cenario (desvio +18.2% sobre mediana 65.4%). Sem forma_recente coletada. Odd real da casa pra Total de Gols esta na linha 1.5, nao 3.5 - sem par exato pra reteste 9.1 direto na linha do PE."
10,2026-08-08,Wolfsburg x 1. FC Kaiserslautern,Alemanha 2. Bundesliga,Total de gols,Over 1.5,Alta,NA,"Betano (odd real do mercado, referencia)","NA (casa oferece Total de Gols so na linha 3.5, nao 1.5 - sem par exato pra citar)",Wolfsburg 0-0 1. FC Kaiserslautern (fonte: ESPN),nao,"PE derivado do pe_engine.py: 1X2 real Betano 1.53/4.75/5.30 (Wolfsburg favorito forte em casa) de-vigado e invertido -> lambdas implicitos 2.72 casa / 1.42 fora, Over 1.5 gols = 87.2% no pior cenario (desvio +16.9% sobre mediana 70.3%). Sem forma_recente coletada. Odd real da casa pra Total de Gols esta na linha 3.5, nao 1.5 - sem par exato pra reteste 9.1 direto."
