id,data,confronto,competicao,mercado,selecao,odd_entrada,casa,prob_estimada,prob_justa_novig,edge_declarado,odd_fechamento,clv,stake_unidades,resultado,acerto_erro,nota_processo
1,2026-07-07/12,DADOS_AGREGADOS_SEMANA1,varias,varios,varios,NA,NA,NA,NA,NA,NA,NA,NA,3A/3E/1NV,agregado,PERDA DE DADOS: detalhe por aposta das semanas 07-12/07 nao sobreviveu a compressao do historico em texto - so agregado. Motivacao direta da criacao deste ledger (v12)
2,2026-07-13/19,DADOS_AGREGADOS_SEMANA2,varias,varios,varios,NA,NA,NA,NA,NA,NA,NA,NA,2A/3E,agregado,PERDA DE DADOS: idem semana 1
3,2026-07-21,Atletico-MG x Bahia,Brasileirao Serie A,Total de gols,Mais de 2.5,1.90,nao registrada,0.565,NA,0.039,irrecuperavel,irrecuperavel,1,1-1,erro,Variancia desfavoravel; prob justa no-vig nao calculada na epoca (pre-v4 completo) | CLV: tentativa de recuperacao 28/07 falhou (agregadores sem fechamento confiavel) - irrecuperavel
4,2026-07-21,Atletico-MG x Bahia,Brasileirao Serie A,Escanteios,Mais de 9.5,1.80,nao registrada,0.625,NA,0.069,irrecuperavel,irrecuperavel,1,7 escanteios,erro,Variancia; dado conflitante declarado | CLV: tentativa de recuperacao 28/07 falhou (agregadores sem fechamento confiavel) - irrecuperavel
5,2026-07-22,Independiente Medellin x Vasco,Copa Sul-Americana,1X2,Vitoria Medellin,2.45,nao registrada,0.475,NA,0.067,irrecuperavel,irrecuperavel,1,2-2,erro,"Contrafactual (v11): over 2.5 (4 gols) teria sido acerto; DNB teria sido push. Erro de EXPRESSAO, nao de leitura de forca | CLV: tentativa de recuperacao 28/07 falhou (agregadores sem fechamento confiavel) - irrecuperavel"
6,2026-07-22,Sporting Cristal x Bragantino,Copa Sul-Americana,1X2,Vitoria Bragantino,2.25,nao registrada,0.50,NA,0.056,irrecuperavel,irrecuperavel,1,0-0,erro,Contrafactual (v11): under 2.5 teria sido acerto; DNB teria sido push. Mesmo padrao de expressao | CLV: tentativa de recuperacao 28/07 falhou (agregadores sem fechamento confiavel) - irrecuperavel
7,2026-07-23,Bolivar x Gremio,Copa Sul-Americana,1X2,Vitoria Bolivar,1.67,nao registrada,0.65,NA,0.051,1.69,-0.012,1,3-2,acerto,"Processo correto; tese altitude+desfalques confirmada | CLV aprox. -1.2% (fechamento ~1.69 via agregador, nao casa licenciada - tratar como referencia, nao dado primario)"
8,2026-07-29,Vasco x Independiente Medellin,Copa Sul-Americana (volta),1X2/Total gols/BTTS/DNB/Escanteios,"NENHUMA (testado, sem edge)",NA,Betano (odds reais confirmadas),"0.44-0.46 (1X2, modelo proxy)",0.583 (1X2) / 0.491 (over2.5) / 0.487 (BTTS),negativo em todos,NA,NA,0,1-0 Vasco (gol de Thiago Mendes aos 39min do 2T) - Vasco avancou as quartas,sem_selecao,"TESTADO com odds reais Betano (1X2 1.67/3.95/5.10, over2.5 1.93/1.87, BTTS 1.91/1.82, DNB 1.27/3.55, escanteios9.5 2.00/1.75) - nenhum mercado com edge claro. ACHADO METODOLOGICO IMPORTANTE: meu modelo Dixon-Coles com lambdas PROXY (sem xG real pesquisado hoje) errou muito no 1X2 (44-46% vs 58,3% justo do mercado) mas ficou proximo em over2.5 (48,2% vs 49,1%) e BTTS (53,2% vs 48,7%) - hipotese: 1X2 depende da RAZAO entre lambdas (sensivel a erro de proxy), totais/BTTS dependem da SOMA (mais robusto a erro). Licao para v14: quando nao houver tempo para xG real, NAO confiar no 1X2 do modelo proxy - so usar totais/BTTS/escanteios como cross-check, nunca a fonte primaria de uma Aposta de Valor. CONFIRMACAO 30/07: Vasco venceu 1-0 (o lado que o mercado favorecia, 58,3%, nao o meu proxy de 44-46%) - reforca a licao v14, sem impacto de P&L pois nenhuma stake foi colocada (edge negativo corretamente identificado)."
9,2026-07-30,Corinthians x Athletico-PR,Brasileirao Serie A,1X2,"NENHUMA (testado, sem edge)",NA,"Superbet (odds reais, mesma casa 3 lados)","36.9-39.1% (1X2 Corinthians, modelo proxy)",0.496 (Corinthians) / 0.285 (empate) / 0.219 (Athletico),negativo,NA,NA,0,"0-0 (empate, time misto do Corinthians)",sem_selecao,"TESTADO com odds reais Superbet (1X2 Corinthians 1.95/Empate 3.30/Athletico-PR 4.25, mesma casa, 3 lados - teste 9.1 valido). Terceiro caso em 3 dias (apos Vasco x Medellin e Inter x Flamengo) de comparacao proxy vs mercado no 1X2: modelo (36,9-39,1% Corinthians) ficou ~11-13pp abaixo do justo de mercado (49,6%) - divergencia moderada, sem folga para declarar edge em qualquer direcao (regra v14). BTTS teve odd Sim (2.15 Superbet) mas sem par Nao da MESMA casa disponivel na busca - descartado por regra 9.1 (dois lados mesma casa obrigatorio). Nimble/Tavily/Exa indisponiveis nesta execucao (ver nota tecnica do relatorio) - WebSearch triangulado foi o unico metodo hoje, e so retornou odds de casa unica utilizavel para este jogo. CONFIRMACAO 31/07: terminou 0-0. Empate justo de mercado (28,5%) e do proprio modelo central (28,5%) coincidiram exatamente - ao contrario do lado Corinthians/Athletico, o mercado de empate foi bem replicado pelo proxy desta vez. Sem impacto de P&L (sem stake)."
10,2026-07-31,Dundee United x Rangers,Scottish Premiership (rodada 1),1X2,"NENHUMA (testado, sem edge)",NA,"Bet365 (odds reais, mesma casa 3 lados, fracionario convertido)","50.0-54.8% (1X2 Rangers, modelo proxy)",0.161 (Dundee) / 0.207 (empate) / 0.632 (Rangers),negativo,NA,NA,0,1-1 (empate; Aasgaard empatou para o Rangers),sem_selecao,"TESTADO com odds reais Bet365 (Dundee United 9/2->5.50 / Empate 10/3->4.33 / Rangers 8/15->1.53, mesma casa, 3 lados, convertido de fracionario para decimal - teste 9.1 valido). Quarto caso da semana de divergencia proxy-vs-mercado no 1X2 (apos Vasco x Medellin, Corinthians x Athletico, e este): modelo deu 50,0-54,8% para Rangers vs 63,2% justo de mercado - 8-13pp abaixo, sem folga para declarar edge (regra v14). Contexto adicional de cautela: rodada de ABERTURA de temporada (Scottish Premiership), forma recente e so amistosos/League Cup (nao liga), tecnicos novos nos dois lados - dado historico fraco por natureza (item 8.1), reforca a decisao de nao forcar selecao. Nimble/Tavily/Exa indisponiveis nesta execucao - WebSearch triangulado unico metodo hoje. CONFIRMACAO 01/08: terminou 1-1. O Rangers, com 63,2% justo de mercado para vencer, NAO venceu - e o meu modelo proxy dava 50,0-54,8%, ou seja, mais proximo do desfecho que o mercado neste caso. Amostra de 1 jogo nao inverte a licao v14 (nao competir com a casa no 1X2 com lambda chutado); registrado como esta, sem narrativa. Sem impacto de P&L (sem stake, edge negativo corretamente identificado)."
